name,name_japanese,team,year,award
Sadaharu Oh,王 貞治,Yomiuri Giants,2024,MVP Winner
Sadaharu Oh,王 貞治,Yomiuri Giants,2024,Best Nine
Sadaharu Oh,王 貞治,Yomiuri Giants,2024,Golden Glove
Sadaharu Oh,王 貞治,Yomiuri Giants,2024,All-Star
Sadaharu Oh,王 貞治,Yomiuri Giants,2024,Japan Series Champion
Sadaharu Oh,王 貞治,Yomiuri Giants,2024,Batting Champion
Sadaharu Oh,王 貞治,Yomiuri Giants,2024,Home Run Leader
Sadaharu Oh,王 貞治,Yomiuri Giants,2024,RBI Leader
Sadaharu Oh,王 貞治,Yomiuri Giants,2024,Japan Baseball Hall of Fame
Sadaharu Oh,王 貞治,Yomiuri Giants,2024,Meikyukai Member
Shigeo Nagashima,長嶋 茂雄,Yomiuri Giants,2024,MVP Winner
Shigeo Nagashima,長嶋 茂雄,Yomiuri Giants,2024,Best Nine
Shigeo Nagashima,長嶋 茂雄,Yomiuri Giants,2024,Golden Glove
Shigeo Nagashima,長嶋 茂雄,Yomiuri Giants,2024,All-Star
Shigeo Nagashima,長嶋 茂雄,Yomiuri Giants,2024,Japan Series Champion
Shigeo Nagashima,長嶋 茂雄,Yomiuri Giants,2024,Batting Champion
Shigeo Nagashima,長嶋 茂雄,Yomiuri Giants,2024,Home Run Leader
Shigeo Nagashima,長嶋 茂雄,Yomiuri Giants,2024,RBI Leader
Shigeo Nagashima,長嶋 茂雄,Yomiuri Giants,2024,Japan Baseball Hall of Fame
Shigeo Nagashima,長嶋 茂雄,Yomiuri Giants,2024,Meikyukai Member
Hayato Sakamoto,坂本 勇人,Yomiuri Giants,2024,MVP Winner
Hayato Sakamoto,坂本 勇人,Yomiuri Giants,2024,Best Nine
Hayato Sakamoto,坂本 勇人,Yomiuri Giants,2024,Golden Glove
Hayato Sakamoto,坂本 勇人,Yomiuri Giants,2024,All-Star
Hayato Sakamoto,坂本 勇人,Yomiuri Giants,2024,Japan Series Champion
Kazuma Okamoto,岡本 和真,Yomiuri Giants,2024,Best Nine
Kazuma Okamoto,岡本 和真,Yomiuri Giants,2024,All-Star
Kazuma Okamoto,岡本 和真,Yomiuri Giants,2024,Home Run Leader
Kazuma Okamoto,岡本 和真,Yomiuri Giants,2024,RBI Leader
Koji Uehara,上原 浩治,Yomiuri Giants,2024,MVP Winner
Koji Uehara,上原 浩治,Yomiuri Giants,2024,Rookie of the Year
Koji Uehara,上原 浩治,Yomiuri Giants,2024,Sawamura Award Winner
Koji Uehara,上原 浩治,Yomiuri Giants,2024,Best Nine
Koji Uehara,上原 浩治,Yomiuri Giants,2024,Golden Glove
Koji Uehara,上原 浩治,Yomiuri Giants,2024,All-Star
Koji Uehara,上原 浩治,Yomiuri Giants,2024,Japan Series Champion
Koji Uehara,上原 浩治,Yomiuri Giants,2024,Wins Leader
Koji Uehara,上原 浩治,Yomiuri Giants,2024,Strikeout Leader
Tomoyuki Sugano,菅野 智之,Yomiuri Giants,2024,MVP Winner
Tomoyuki Sugano,菅野 智之,Yomiuri Giants,2024,Sawamura Award Winner
Tomoyuki Sugano,菅野 智之,Yomiuri Giants,2024,Best Nine
