Season,Game Type,Team,#,Name,Position,G,PA,AB,BA,OBP,SLG,OPS,R,RBI,H,1B,2B,3B,HR,TB,SB,CS,BB,IBB,K,DP,DB,SH,SF,PlayerID
2002,Regular Season,Hiroshima Toyo Carp,16,"Yamauchi, Yasuyuki",P,3,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01003880
2002,Regular Season,Yokohama BayStars,24,"Hosomi, Kazushi",P,27,2,2,1.000,1.000,1.000,2.000,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,01003882
2002,Regular Season,Yomiuri Giants,44,"Horita, Ichiro",RF,16,17,17,0.118,0.118,0.235,0.353,3,2,2,0,2,0,0,4,0,0,0,0,4,1,0,0,0,01003884
2002,Regular Season,Hanshin Tigers,66,"Nakatani, Jin",C,17,23,22,0.045,0.045,0.045,0.090,2,1,1,1,0,0,0,1,0,0,0,0,8,1,0,1,0,01003886
2002,Regular Season,Yokohama BayStars,33,"Furuki, Katsuaki",3B,34,106,100,0.320,0.343,0.650,0.993,15,22,32,17,6,0,9,65,2,0,4,0,25,2,0,1,1,01003888
2002,Regular Season,Chunichi Dragons,00,"Yanagisawa, Yuichi",C,6,5,5,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,01003889
2002,Regular Season,Seibu Lions,56,"Nakajima, Hiroyuki",DH,4,7,7,0.143,0.143,0.143,0.286,0,0,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,01005113
2002,Regular Season,Yakult Swallows,61,"Ishii, Hirotoshi",P,69,5,5,0.200,0.200,0.200,0.400,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,01103882
2002,Japan Series,Yomiuri Giants,2,"Motoki, Daisuke",3B,3,,3,0.667,,0.667,,,2,2,2,0,0,0,2,0,,1,,0,,,,,01103883
2002,Regular Season,Yomiuri Giants,2,"Motoki, Daisuke",3B,121,381,343,0.257,0.299,0.350,0.649,39,52,88,69,12,1,6,120,1,0,23,2,58,19,0,8,5,01103883
2002,Regular Season,Osaka Kintetsu Buffaloes,8,"Isobe, Koichi",RF,117,444,396,0.270,0.334,0.346,0.680,44,30,107,84,19,1,3,137,6,1,36,4,43,10,3,7,2,01103884
2002,Regular Season,Hanshin Tigers,29,"Igawa, Kei",P,31,75,64,0.141,0.191,0.141,0.332,3,3,9,9,0,0,0,9,0,0,4,0,36,0,0,7,0,01103886
2002,Regular Season,Hiroshima Toyo Carp,25,"Arai, Takahiro",3B,140,559,512,0.287,0.342,0.514,0.856,63,75,147,89,28,2,28,263,1,3,38,2,124,17,6,0,3,01103888
2002,Regular Season,Osaka Kintetsu Buffaloes,48,"Iwakuma, Hisashi",P,23,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01105111
2002,Regular Season,Yokohama BayStars,62,"Azuma, Kazumasa",P,28,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01105113
2002,Regular Season,Yokohama BayStars,44,"Mitsuyama, Hidekazu",C,8,5,5,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01203862
2002,Regular Season,Hanshin Tigers,30,"Yokota, Hisanori",P,2,4,3,0.333,0.500,0.667,1.167,1,0,1,0,1,0,0,2,0,0,1,0,2,0,0,0,0,01203864
2002,Regular Season,Fukuoka Daiei Hawks,53,"Nonogaki, Takeshi",1B,59,60,58,0.172,0.186,0.190,0.376,5,0,10,9,1,0,0,11,1,1,1,0,10,1,0,1,0,01203881
2002,Regular Season,Yokohama BayStars,14,"Morinaka, Masao",P,27,9,9,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,01203884
2002,Regular Season,Chiba Lotte Marines,12,"Fujita, Soichi",P,50,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01203886
2002,Regular Season,Nippon-Ham Fighters,26,"Muto, Junichiro",P,25,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01203887
2002,Regular Season,Hanshin Tigers,68,"Mende, Tetsuji",P,6,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01203888
2002,Regular Season,Hanshin Tigers,15,"Fujita, Taiyo",P,12,19,16,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,01205113
2002,Regular Season,Chunichi Dragons,17,"Kito, Makoto",P,30,13,11,0.091,0.091,0.182,0.273,1,0,1,0,1,0,0,2,0,0,0,0,8,1,0,2,0,01303864
2002,Regular Season,Chunichi Dragons,22,"Yamasaki, Takeshi",1B,26,83,78,0.192,0.241,0.295,0.536,2,5,15,11,2,0,2,23,0,0,5,0,26,1,0,0,0,01303868
2002,Regular Season,Hanshin Tigers,19,"Kawajiri, Tetsuro",P,15,26,22,0.000,0.043,0.000,0.043,1,0,0,0,0,0,0,0,0,0,1,0,12,0,0,3,0,01303880
2002,Regular Season,Osaka Kintetsu Buffaloes,23,"Kadokura, Ken",P,16,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01303882
2002,Regular Season,Hanshin Tigers,8,"Kataoka, Atsushi",3B,120,489,425,0.228,0.317,0.346,0.663,45,46,97,69,17,0,11,147,2,0,53,0,110,7,4,3,4,01303885
2002,Regular Season,Nippon-Ham Fighters,51,"Oda, Tomoyuki",3B,5,7,7,0.143,0.143,0.143,0.286,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,01303886
2002,Regular Season,Orix Bluewave,53,"Uemura, Kazuhiro",C,11,14,11,0.091,0.286,0.091,0.377,1,0,1,1,0,0,0,1,0,0,3,0,6,0,0,0,0,01305113
2002,Regular Season,Chiba Lotte Marines,25,"Imae, Toshiaki",3B,15,25,25,0.200,0.200,0.320,0.520,0,2,5,2,3,0,0,8,0,0,0,0,7,1,0,0,0,01305115
2002,Regular Season,Chunichi Dragons,34,"Yamamoto, Masahiro",P,21,28,24,0.125,0.160,0.125,0.285,2,0,3,3,0,0,0,3,0,0,1,0,12,1,0,3,0,01403862
