Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
2025,Regular Season,Hiroshima Toyo Carp,34,"<a href=""https://proeyekyuu.com/player/?PlayerID=01005134"">Takahashi, Kouya</a>",P,24,1.000,4,4,0,1,,01005134
2025,Climax Series - Final Stage,Fukuoka Softbank Hawks,16,"<a href=""https://proeyekyuu.com/player/?PlayerID=01005137"">Higashihama, Nao</a>",P,1,0.000,0,0,0,0,,01005137
2025,Regular Season,Fukuoka Softbank Hawks,16,"<a href=""https://proeyekyuu.com/player/?PlayerID=01005137"">Higashihama, Nao</a>",P,7,0.600,1,2,2,0,,01005137
2025,Regular Season,Saitama Seibu Lions,49,"<a href=""https://proeyekyuu.com/player/?PlayerID=01005153"">Sasaki, Takeru</a>",P,15,0.500,0,1,1,0,,01005153
2025,Regular Season,Chiba Lotte Marines,35,"<a href=""https://proeyekyuu.com/player/?PlayerID=01005157"">Tanaka, Haruya</a>",P,13,1.000,4,9,0,1,,01005157
2025,Regular Season,Tokyo Yakult Swallows,65,"<a href=""https://proeyekyuu.com/player/?PlayerID=01005159"">Suzuki, Kyo</a>",C,2,1.000,9,2,0,0,0,01005159
2025,Regular Season,Hokkaido Nippon-Ham Fighters,52,"<a href=""https://proeyekyuu.com/player/?PlayerID=01105134"">Ikeda, Takahide</a>",P,24,1.000,0,5,0,0,,01105134
2025,Regular Season,Yomiuri Giants,63,"<a href=""https://proeyekyuu.com/player/?PlayerID=01105138"">Izumi, Keisuke</a>",P,10,1.000,1,0,0,0,,01105138
2025,Regular Season,Fukuoka Softbank Hawks,55,"<a href=""https://proeyekyuu.com/player/?PlayerID=01105151"">Ishizuka, Soichiro</a>",1B,4,1.000,8,1,0,2,,01105151
2025,Regular Season,Fukuoka Softbank Hawks,55,"<a href=""https://proeyekyuu.com/player/?PlayerID=01105151"">Ishizuka, Soichiro</a>",OF,17,0.952,20,0,1,0,,01105151
2025,Regular Season,Orix Buffaloes,20,"<a href=""https://proeyekyuu.com/player/?PlayerID=01105153"">Abe, Shota</a>",P,16,1.000,1,1,0,1,,01105153
2025,Regular Season,Hokkaido Nippon-Ham Fighters,39,"<a href=""https://proeyekyuu.com/player/?PlayerID=01105155"">Arizono, Naoki</a>",1B,1,1.000,9,1,0,2,,01105155
2025,Regular Season,Hokkaido Nippon-Ham Fighters,39,"<a href=""https://proeyekyuu.com/player/?PlayerID=01105155"">Arizono, Naoki</a>",3B,9,0.955,8,13,1,1,,01105155
