name,name_japanese,team,year,position,games,innings,po,a,e,fpct
Sadaharu Oh,王 貞治,Yomiuri Giants,2024,First Baseman,,,,,,
Shigeo Nagashima,長嶋 茂雄,Yomiuri Giants,2024,Third Baseman,,,,,,
Hayato Sakamoto,坂本 勇人,Yomiuri Giants,2024,Shortstop,,,,,,
Kazuma Okamoto,岡本 和真,Yomiuri Giants,2024,Third Baseman,,,,,,
Kazuma Okamoto,岡本 和真,Yomiuri Giants,2024,First Baseman,,,,,,
Koji Uehara,上原 浩治,Yomiuri Giants,2024,Pitcher,,,,,,
Tomoyuki Sugano,菅野 智之,Yomiuri Giants,2024,Pitcher,,,,,,
Alex Ramirez,,Yakult Swallows,2024,Left Fielder,,,,,,
Nobuhiro Matsuda,,SoftBank Hawks,2024,Third Baseman,,,,,,
Randy Bass,,Hanshin Tigers,2024,First Baseman,,,,,,
Yutaka Enatsu,,Hanshin Tigers,2024,Pitcher,,,,,,
Koji Chikamoto,,Hanshin Tigers,2024,Center Fielder,,,,,,
Toru Murayama,,Hanshin Tigers,2024,Pitcher,,,,,,
Akinobu Okada,,Hanshin Tigers,2024,Second Baseman,,,,,,
Tetsuya Yoneda,,Hanshin Tigers,2024,Pitcher,,,,,,
Masayuki Kakefu,,Hanshin Tigers,2024,Third Baseman,,,,,,
Munetaka Murakami,村上 宗隆,Yakult Swallows,2024,Third Baseman,,,,,,
Tetsuto Yamada,山田 哲人,Yakult Swallows,2024,Second Baseman,,,,,,
Wladimir Balentien,,Yakult Swallows,2024,Right Fielder,,,,,,
Wladimir Balentien,,Yakult Swallows,2024,Designated Hitter,,,,,,
Yoshinobu Okugawa,,Yakult Swallows,2024,Pitcher,,,,,,
Tetsuya Iida,,Yakult Swallows,2024,Center Fielder,,,,,,
Shingo Takatsu,,Yakult Swallows,2024,Pitcher,,,,,,
Atsuya Furuta,古田 敦也,Yakult Swallows,2024,Catcher,,,,,,
Tsuyoshi Wada,和田 毅,SoftBank Hawks,2024,Pitcher,,,,,,
Kodai Senga,千賀 滉大,SoftBank Hawks,2024,Pitcher,,,,,,
Yuki Yanagita,柳田 悠岐,SoftBank Hawks,2024,Center Fielder,,,,,,
Yuki Yanagita,柳田 悠岐,SoftBank Hawks,2024,Left Fielder,,,,,,
Yuki Yanagita,柳田 悠岐,SoftBank Hawks,2024,Right Fielder,,,,,,
Yuki Yanagita,柳田 悠岐,SoftBank Hawks,2024,Designated Hitter,,,,,,
Tadahito Iguchi,,SoftBank Hawks,2024,Second Baseman,,,,,,
Kazuhiro Kiyohara,,Seibu Lions,2024,First Baseman,,,,,,
Katsuya Nomura,野村 克也,Nankai Hawks,2024,Catcher,,,,,,
Katsuya Nomura,野村 克也,Nankai Hawks,2024,Designated Hitter,,,,,,
Hiroki Kokubo,,SoftBank Hawks,2024,First Baseman,,,,,,
Yoshinobu Yamamoto,山本 由伸,Orix Buffaloes,2024,Pitcher,,,,,,
Masataka Yoshida,吉田 正尚,Orix Buffaloes,2024,Left Fielder,,,,,,
Masataka Yoshida,吉田 正尚,Orix Buffaloes,2024,Designated Hitter,,,,,,
Yutaka Fukumoto,,Orix Braves,2024,Center Fielder,,,,,,
Ichiro Suzuki,,Orix BlueWave,2024,Center Fielder,,,,,,
