Season,Game Type,Team,#,Name,W,L,S,HLD,HP,G,IP,WPCT,ERA,WHIP,R/9,R/G,H/9,HR/9,K/9,BB/9,K/BB,BF,H,R,ER,HR,K,BB,IBB,DB,WP,BLK,CG,SHO,No BB,GS,GF,PlayerID
1962,Regular Season,Kintetsu Buffaloes,17,"Bando, Satomi",2,4,,,,37,84.1,0.333,4.760,1.411,5.656,1.432,9.498,0.960,5.229,3.202,1.633,361,89,53,45,9,49,30,,2,0,0,0,0,0,14,10,01003821
1962,Regular Season,Mainichi Daiei Orions,28,"Desa, Dick",9,9,,,,44,127.2,0.500,4.150,1.480,5.076,1.636,7.825,0.564,6.204,5.499,1.128,558,111,72,59,8,88,78,,2,3,1,5,1,0,18,12,01003823
1962,Regular Season,Hankyu Braves,31,"Aramaki, Atsushi",0,0,,,,2,2.0,0.000,4.500,1.500,4.500,0.500,4.500,0.000,9.000,9.000,1.000,9,1,1,1,0,2,2,,0,0,0,0,0,0,0,2,01103801
1962,Regular Season,Taiyo Whales,17,"Akiyama, Noboru",26,12,,,,72,290.2,0.684,1.920,1.005,2.260,1.014,6.595,0.495,6.162,2.446,2.519,1139,213,73,62,16,199,79,,7,1,0,8,5,0,17,32,01103802
1962,Regular Season,Hanshin Tigers,12,"Iio, Tameo",1,3,,,,15,35.0,0.250,2.570,1.086,3.086,0.800,7.971,0.514,4.371,1.800,2.429,141,31,12,10,2,17,7,,1,0,1,0,0,0,3,2,01103803
1962,Regular Season,Nishitetsu Lions,11,"Inoe, Yoshio",8,7,,,,52,159.2,0.533,3.770,1.265,4.509,1.538,9.301,1.015,6.933,2.086,3.324,674,165,80,67,18,123,37,,8,3,0,2,1,0,18,8,01103821
1962,Regular Season,Toei Flyers,17,"Ando, Motohiro",13,8,,,,47,202.0,0.619,2.320,1.025,2.941,1.404,7.084,0.624,6.861,2.139,3.208,802,159,66,52,14,154,48,,3,0,0,6,1,3,24,12,01103825
1962,Regular Season,Mainichi Daiei Orions,17,"Nakanishi, Katsumi",1,6,,,,25,75.2,0.143,5.570,1.612,6.423,2.160,10.824,0.357,3.568,3.687,0.968,342,91,54,47,3,30,31,,4,2,0,1,0,0,9,5,01203802
1962,Regular Season,Nankai Hawks,28,"Fukuda, Masahisa",0,0,,,,1,0.0,0.000,0.000,,,0.000,,,,,,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,01203804
1962,Regular Season,Kokutetsu Swallows,21,"Moritaki, Yoshimi",0,7,,,,24,63.0,0.000,3.430,1.175,3.857,1.125,8.429,0.429,4.000,2.143,1.867,256,59,27,24,3,28,15,,1,1,0,0,0,0,9,7,01203821
1962,Regular Season,Hankyu Braves,15,"Kajimoto, Yasuo",1,1,,,,25,43.2,0.500,2.660,1.328,3.504,0.680,9.893,0.412,5.771,2.061,2.800,182,48,17,13,2,28,10,,1,3,0,0,0,0,1,6,01303804
1962,Regular Season,Hiroshima Carp,34,"Kangaki, Masaaki",1,0,,,,2,3.0,1.000,3.000,1.333,6.000,1.000,6.000,0.000,0.000,6.000,0.000,13,2,2,1,0,0,2,,0,1,0,0,0,0,0,1,01303821
1962,Regular Season,Taiyo Whales,19,"Osaki, Takao",0,0,,,,6,6.0,0.000,9.000,3.000,9.000,1.000,19.500,0.000,4.500,7.500,0.600,35,13,6,6,0,3,5,,0,0,0,0,0,0,2,0,01303823
1962,Regular Season,Kokutetsu Swallows,63,"Ishito, Shiroku",0,0,,,,3,2.1,0.000,3.000,1.714,3.857,0.333,11.571,0.000,3.857,3.857,1.000,10,3,1,1,0,1,1,,0,0,0,0,0,0,0,1,01303825
1962,Regular Season,Hiroshima Carp,24,"Yamamoto, Hyogo",0,0,,,,6,8.1,0.000,1.000,1.200,3.240,0.500,8.640,1.080,6.480,2.160,3.000,36,8,3,1,1,6,2,,1,0,0,0,0,0,0,4,01603823
1962,Regular Season,Nishitetsu Lions,32,"Hashino, Akinami",1,0,,,,12,22.2,1.000,4.300,1.500,4.765,1.000,9.132,0.794,4.368,4.368,1.000,95,23,12,11,2,11,11,,0,0,0,0,0,0,0,7,01603825
1962,Regular Season,Nankai Hawks,21,"Sugiura, Tadashi",14,15,,,,43,172.2,0.483,3.070,1.164,3.544,1.581,8.600,0.625,5.004,1.876,2.667,705,165,68,59,12,96,36,,5,1,0,6,1,1,18,19,01703806
1962,Regular Season,Mainichi Daiei Orions,35,"Kurataka, Shinji",0,0,,,,3,5.0,0.000,7.200,1.800,7.200,1.333,16.200,1.800,3.600,0.000,,22,9,4,4,1,2,0,,0,0,0,0,0,0,0,2,01703825
1962,Regular Season,Nankai Hawks,40,"Masui, Makito",0,0,,,,16,14.0,0.000,3.210,1.357,5.786,0.563,9.000,0.000,3.857,3.214,1.200,65,14,9,5,0,6,5,,2,0,0,0,0,0,2,3,01803802
1962,Regular Season,Hiroshima Carp,14,"Hirose, Masahiko",2,6,,,,35,83.2,0.250,4.180,1.434,4.948,1.314,10.004,1.398,4.088,2.904,1.407,361,93,46,39,13,38,27,,1,0,1,0,0,0,14,9,01803809
1962,Regular Season,Toei Flyers,26,"Kubota, Osamu",16,7,,,,43,190.2,0.696,2.120,0.991,3.068,1.512,7.741,0.472,2.549,1.180,2.160,739,164,65,45,10,54,25,,2,1,0,5,4,3,25,9,01903800
1962,Regular Season,Mainichi Daiei Orions,37,"Sugawara, Norimoto",12,10,,,,57,208.1,0.545,3.400,1.214,3.802,1.544,7.819,0.648,5.832,3.110,1.875,857,181,88,79,15,135,72,,9,3,0,4,1,1,22,21,01903808
1962,Regular Season,Hiroshima Carp,27,"Nakamoto, Fujio",0,1,,,,8,11.2,0.000,3.750,1.286,3.857,0.625,8.486,0.000,3.086,3.086,1.000,49,11,5,5,0,4,4,,0,0,0,0,0,0,0,0,11013804
1962,Regular Season,Kokutetsu Swallows,18,"Tatsumi, Hajimu",1,10,,,,34,98.2,0.091,3.820,1.267,4.287,1.382,9.304,0.821,7.024,2.098,3.348,421,102,47,42,9,77,23,,5,3,0,0,0,0,14,7,11013808
1962,Regular Season,Taiyo Whales,46,"Hayama, Jiro",0,0,,,,2,4.1,0.000,7.200,2.077,10.385,2.500,18.692,4.154,6.231,0.000,,22,9,5,4,2,3,0,,0,1,0,0,0,0,0,0,11013821
1962,Regular Season,Yomiuri Giants,12,"Shibata, Isao",0,2,,,,6,11.0,0.000,9.820,1.818,9.818,2.000,13.091,4.091,7.364,3.273,2.250,53,16,12,12,5,9,4,,1,0,0,0,0,0,3,3,11013825
1962,Regular Season,Hankyu Braves,35,"Makita, Masahiko",0,0,,,,3,4.2,0.000,1.800,0.857,1.929,0.333,5.786,0.000,7.714,1.929,4.000,19,3,1,1,0,4,1,,0,1,0,0,0,0,0,2,11213806
1962,Regular Season,Yomiuri Giants,20,"Horimoto, Ritsuo",7,6,,,,26,109.0,0.538,2.810,1.248,3.303,1.538,8.422,0.908,4.789,2.807,1.706,452,102,40,34,11,58,34,,0,0,0,2,2,0,19,3,11213821
1962,Regular Season,Hanshin Tigers,17,"Ina, Tsutomu",3,2,,,,21,58.1,0.600,2.440,1.303,2.777,0.857,7.714,0.154,5.400,4.011,1.346,241,50,18,16,1,35,26,,2,4,0,0,0,0,11,2,11313807
1962,Regular Season,Chunichi Dragons,27,"Mizutani, Hisanobu",1,0,,,,4,8.1,1.000,0.000,0.480,0.000,0.000,3.240,0.000,9.720,1.080,9.000,29,3,0,0,0,9,1,,0,0,0,0,0,0,1,2,11413808
1962,Regular Season,Mainichi Daiei Orions,19,"Ono, Shoichi",9,15,,,,44,177.2,0.375,3.340,1.362,3.901,1.750,7.953,0.405,6.129,4.306,1.424,762,157,77,66,8,121,85,,6,3,0,6,1,0,20,15,11513802
