name,name_japanese,team,year,w,l,era,so,sv,hld,ip,cg,sho,no_hitter,perfect_game
Koji Uehara,上原 浩治,Yomiuri Giants,2024,20,,2.5,150,,,200,,,0,0
Tomoyuki Sugano,菅野 智之,Yomiuri Giants,2024,15,,2,150,,,200,,,0,0
Yutaka Enatsu,,Hanshin Tigers,2024,20,,2.5,200,,,200,100,20,0,0
Toru Murayama,,Hanshin Tigers,2024,15,,,,,,,,,0,0
Tetsuya Yoneda,,Hanshin Tigers,2024,15,,,200,,,,,,0,0
Tsuyoshi Wada,和田 毅,SoftBank Hawks,2024,20,,2.5,150,,,200,,,0,0
Kodai Senga,千賀 滉大,SoftBank Hawks,2024,15,,,200,,,,,,0,0
Yoshinobu Yamamoto,山本 由伸,Orix Buffaloes,2024,20,,2,200,,,200,,,0,0
Hisashi Yamada,,Hankyu Braves,2024,15,,,,,,,,,0,0
Takuya Asao,,Chunichi Dragons,2024,,,,,,40,,,,0,0
Daisuke Yamai,,Chunichi Dragons,2024,15,,,,,,,,,0,0
Kenshin Kawakami,,Chunichi Dragons,2024,15,,,,,,,,,0,0
Kris Johnson,,Hiroshima Toyo Carp,2024,15,,,,,,,,,0,0
Roki Sasaki,,Chiba Lotte Marines,2024,,,2.5,200,,,,,,0,1
Daisuke Matsuzaka,,Seibu Lions,2024,20,,2.5,200,,,200,,,1,0
Kazuhisa Inao,,Nishitetsu Lions,2024,20,,2,200,,,200,100,20,0,0
Shun Yamaguchi,,Yokohama BayStars,2024,15,,,,,,,,,0,0
Daisuke Miura,,Yokohama DeNA BayStars,2024,15,,,,,,,,,0,0
Masahiro Tanaka,田中 将大,Rakuten Eagles,2024,20,,2,200,,,200,,,0,0
Shohei Ohtani,大谷 翔平,Nippon-Ham Fighters,2024,15,,2.5,150,,,,,,0,0
Yu Darvish,ダルビッシュ 有,Nippon-Ham Fighters,2024,15,,2,200,,,200,,,1,0
