name,name_japanese,bats,throws,birth_country,team,position,played_in_mlb,hall_of_fame,meikyukai
Sadaharu Oh,王 貞治,,,Japan,Yomiuri Giants,First Baseman,0,1,1
Shigeo Nagashima,長嶋 茂雄,,,Japan,Yomiuri Giants,Third Baseman,0,1,1
Hayato Sakamoto,坂本 勇人,,,Japan,Yomiuri Giants,Shortstop,0,0,0
Kazuma Okamoto,岡本 和真,,,Japan,Yomiuri Giants,Third Baseman,0,0,0
Koji Uehara,上原 浩治,,,Japan,Yomiuri Giants,Pitcher,1,0,0
Tomoyuki Sugano,菅野 智之,,,Japan,Yomiuri Giants,Pitcher,0,0,0
Alex Ramirez,,,,Foreign-born,Yakult Swallows,Left Fielder,0,0,0
Nobuhiro Matsuda,,,,Japan,SoftBank Hawks,Third Baseman,0,0,0
Randy Bass,,,,Foreign-born,Hanshin Tigers,First Baseman,0,0,0
Yutaka Enatsu,,,,Japan,Hanshin Tigers,Pitcher,0,1,1
Koji Chikamoto,,,,Japan,Hanshin Tigers,Center Fielder,0,0,0
Toru Murayama,,,,Japan,Hanshin Tigers,Pitcher,0,0,0
Akinobu Okada,,,,Japan,Hanshin Tigers,Second Baseman,0,0,0
Tetsuya Yoneda,,,,Japan,Hanshin Tigers,Pitcher,0,0,0
Masayuki Kakefu,,,,Japan,Hanshin Tigers,Third Baseman,0,0,0
Munetaka Murakami,村上 宗隆,,,Japan,Yakult Swallows,Third Baseman,0,0,0
Tetsuto Yamada,山田 哲人,,,Japan,Yakult Swallows,Second Baseman,0,0,0
Wladimir Balentien,,,,Foreign-born,Yakult Swallows,Right Fielder,0,0,0
Yoshinobu Okugawa,,,,Japan,Yakult Swallows,Pitcher,0,0,0
Tetsuya Iida,,,,Japan,Yakult Swallows,Center Fielder,0,0,0
Shingo Takatsu,,,,Japan,Yakult Swallows,Pitcher,0,0,0
Atsuya Furuta,古田 敦也,,,Japan,Yakult Swallows,Catcher,0,1,1
Tsuyoshi Wada,和田 毅,,,Japan,SoftBank Hawks,Pitcher,1,0,0
Kodai Senga,千賀 滉大,,,Japan,SoftBank Hawks,Pitcher,1,0,0
Yuki Yanagita,柳田 悠岐,,,Japan,SoftBank Hawks,Center Fielder,0,0,0
Tadahito Iguchi,,,,Japan,SoftBank Hawks,Second Baseman,1,0,0
Kazuhiro Kiyohara,,,,Japan,Seibu Lions,First Baseman,0,0,0
Katsuya Nomura,野村 克也,,,Japan,Nankai Hawks,Catcher,0,1,1
